2014 01 14::11:47:46:516	-173.9101531767623	420.8997958365823
2014 01 14::11:47:46:516	-170.73364084268783	552.742552125085
2014 01 14::11:47:47:016	-173.66281629255548	2240.060326091309
2014 01 14::11:47:47:016	-166.2084326407425	3813.7049416968384
2014 01 14::11:47:47:517	-169.91694766398203	2979.8520667909665
2014 01 14::11:47:47:517	-165.01763961218444	4213.670556876181
2014 01 14::11:47:48:017	-167.88966708084936	5309.749516731798
2014 01 14::11:47:48:017	-156.60250966481425	4228.317842725826
2014 01 14::11:47:48:517	-167.83291107520535	6824.698434631327
2014 01 14::11:47:48:517	-154.65986192722778	4650.1185358139965
2014 01 14::11:47:49:018	-135.5864882925918	8303.140126271603
2014 01 14::11:47:49:018	-154.2505280950171	8758.945136024122
2014 01 14::11:47:49:518	-128.8335703852206	9122.957325341196
2014 01 14::11:47:49:518	-151.54544511316448	8945.93708335284
2014 01 14::11:47:50:018	-125.58107041492596	9908.592468334988
2014 01 14::11:47:50:018	-150.41126153690576	10991.015370571255
2014 01 14::11:47:50:519	-124.3022214243484	10470.195211517042
2014 01 14::11:47:50:519	-141.1606988038552	13188.264726697918
2014 01 14::11:47:51:020	-119.91460463987673	10586.502655195462
2014 01 14::11:47:51:020	-129.62264705728813	13266.375639469952
2014 01 14::11:47:51:520	-119.21369267547766	11545.06577705099
2014 01 14::11:47:51:520	-129.04808409535698	13866.609385884454
2014 01 14::11:47:52:020	-113.75416334985715	11673.341298128082
2014 01 14::11:47:52:020	-128.8601220698729	13888.623878729179
2014 01 14::11:47:52:521	-109.41923911466068	12813.53151846114
2014 01 14::11:47:52:521	-124.49168106938023	14448.251729347594
2014 01 14::11:47:53:021	-107.61129993945679	14037.824528686127
2014 01 14::11:47:53:021	-123.51991952194822	15797.556207540698
2014 01 14::11:47:53:521	-101.06557074717952	19963.736313955214
2014 01 14::11:47:53:521	-123.06325978416487	19781.803899691742
2014 01 14::11:47:54:021	-99.74102271889996	20096.227781098685
2014 01 14::11:47:54:021	-115.32577402903021	25607.58483461342
2014 01 14::11:47:54:522	-98.20997495585763	24779.166458048006
2014 01 14::11:47:54:522	-112.9185101729365	28377.706559863447
2014 01 14::11:47:55:022	-93.42998950364367	25518.366954696536
2014 01 14::11:47:55:022	-99.76686197889188	29048.049234401184
2014 01 14::11:47:55:523	-92.12189852017895	28521.573618180286
2014 01 14::11:47:55:523	-97.85229690493944	31488.53569066463
2014 01 14::11:47:56:023	-82.68085326130185	31718.317059687175
2014 01 14::11:47:56:023	-97.67624318348558	35064.36834932182
2014 01 14::11:47:56:523	-81.70416496555964	32811.96005596265
2014 01 14::11:47:56:523	-96.25127941686608	35717.15372021692
2014 01 14::11:47:57:023	-73.56946971682908	33085.16370977709
2014 01 14::11:47:57:023	-95.23478922932867	36406.25569862744
2014 01 14::11:47:57:524	-71.81052241975749	35118.24079408771
2014 01 14::11:47:57:524	-87.99980045180766	38816.809867986405
2014 01 14::11:47:58:024	-62.33876931934799	37083.05044826318
2014 01 14::11:47:58:024	-86.84596665539866	42067.89903193006
2014 01 14::11:47:58:524	-60.56953835694216	39050.15463311467
2014 01 14::11:47:58:524	-81.00564720011164	43391.384959503244
2014 01 14::11:47:59:024	-58.301044159685205	43239.38231700207
2014 01 14::11:47:59:024	-80.77923938505955	45125.3544020109
2014 01 14::11:47:59:524	-57.23474936239944	44228.370235442504
2014 01 14::11:47:59:524	-76.89342888083036	48356.88025634668
2014 01 14::11:48:00:025	-40.32583698072132	44660.45151609399
2014 01 14::11:48:00:025	-73.97459966325658	48527.28300308891
2014 01 14::11:48:00:526	-39.148446877485185	45007.413407131455
2014 01 14::11:48:00:526	-67.37719605788428	49201.91998354353
