2014 01 14::01:04:11:294	-173.425	675.483	50.021
2014 01 14::01:04:11:544	-169.881	2279.481	50.144
2014 01 14::01:04:11:794	-168.966	5791.670	50.318
2014 01 14::01:04:12:044	-168.038	6531.923	50.712
2014 01 14::01:04:12:295	-166.448	10219.166	50.828
2014 01 14::01:04:12:545	-165.938	11004.601	51.238
2014 01 14::01:04:12:795	-161.352	11280.222	51.282
2014 01 14::01:04:13:046	-156.564	13073.763	51.397
2014 01 14::01:04:13:297	-150.689	13719.631	51.563
2014 01 14::01:04:13:548	-91.080	14022.808	0.000
2014 01 14::01:04:21:054	-90.935	44462.694	59.814
2014 01 14::01:04:21:304	-89.732	45890.322	59.890
2014 01 14::01:04:21:554	-83.324	46425.238	60.380
2014 01 14::01:04:21:805	34.494	48089.809	0.000
2014 01 14::01:04:33:564	37.393	89189.749	76.642
2014 01 14::01:04:33:815	40.943	90498.655	76.670
2014 01 14::01:04:34:065	41.701	90675.647	76.768
2014 01 14::01:04:34:315	43.316	93025.508	76.986
2014 01 14::01:04:34:565	47.799	94940.803	77.522
2014 01 14::01:04:34:815	48.488	96775.202	77.645
2014 01 14::01:04:35:065	50.452	96979.022	77.663
2014 01 14::01:04:35:315	59.670	97615.339	77.711
2014 01 14::01:04:35:565	61.521	97986.569	78.499
2014 01 14::01:04:35:815	70.301	98352.284	79.130
2014 01 14::01:04:36:065	74.311	99769.880	79.725
