2014:01:14::01:04:11:294	-114.12483	205.88723	50.02075	
2014:01:14::01:04:11:544	-112.15595	694.78595	50.14359	
2014:01:14::01:04:11:794	-111.64801	1765.30096	50.31793	
2014:01:14::01:04:12:044	-111.13241	1990.93014	50.71190	
2014:01:14::01:04:12:295	-110.24864	3114.80180	50.82830	
2014:01:14::01:04:12:545	-109.96556	3354.20231	51.23815	
2014:01:14::01:04:12:795	-107.41778	3438.21174	51.28196	
2014:01:14::01:04:13:046	-104.75765	3984.88296	51.39750	
2014:01:14::01:04:13:297	-101.49395	4181.74341	51.56296	
2014:01:14::01:04:13:548	-101.24813	4274.15190	51.68162	
2014:01:14::01:04:13:798	-99.43021	4707.02311	51.80027	
2014:01:14::01:04:14:048	-98.25253	5060.35978	51.88341	
2014:01:14::01:04:14:298	-93.52630	5189.53683	52.14865	
2014:01:14::01:04:14:548	-93.36643	6267.08919	52.72670	
2014:01:14::01:04:14:798	-92.99585	6500.41472	53.30475	
2014:01:14::01:04:15:049	-90.32407	6628.87368	53.40430	
2014:01:14::01:04:15:299	-90.27194	6906.91550	53.59414	
2014:01:14::01:04:15:549	-89.10333	7167.38464	53.75891	
2014:01:14::01:04:15:799	-87.65629	7207.63085	54.05207	
2014:01:14::01:04:16:049	-87.51116	7387.70669	54.38494	
2014:01:14::01:04:16:299	-86.50632	7874.76238	54.47853	
2014:01:14::01:04:16:550	-86.42935	8279.34251	54.92864	
2014:01:14::01:04:16:800	-85.41023	8308.76395	54.98360	
2014:01:14::01:04:17:051	-85.17425	8995.62857	55.72283	
2014:01:14::01:04:17:301	-85.12897	9195.42179	55.95592	
2014:01:14::01:04:17:551	-84.48895	9278.88864	56.20029	
2014:01:14::01:04:17:801	-82.43373	9835.87828	56.46316	
2014:01:14::01:04:18:052	-80.27399	9996.33133	56.67214	
2014:01:14::01:04:18:302	-80.22134	10007.53013	57.17712	
2014:01:14::01:04:18:552	-78.36369	10667.75698	57.58927	
2014:01:14::01:04:18:803	-76.72916	10821.93678	57.77977	
2014:01:14::01:04:19:053	-76.36618	11301.17228	57.87549	
2014:01:14::01:04:19:303	-74.98421	11351.34833	58.67585	
2014:01:14::01:04:19:553	-73.74027	11505.71173	58.80312	
2014:01:14::01:04:19:803	-69.44933	11565.71138	58.86358	
2014:01:14::01:04:20:053	-69.34211	11856.98174	58.92404	
2014:01:14::01:04:20:303	-69.30180	12061.27236	59.18026	
2014:01:14::01:04:20:554	-68.53807	12859.90266	59.50269	
2014:01:14::01:04:20:804	-68.37802	12924.90629	59.65826	
